@relation tweet_classification


@attribute 1st_person_pronouns numeric
@attribute 2nd_person_pronouns numeric
@attribute 3rd_person_pronouns numeric
@attribute coor_conjunctions numeric
@attribute past_verbs numeric
@attribute future_verbs numeric
@attribute commas numeric
@attribute colon_and_semi numeric
@attribute dashes numeric
@attribute parentheses numeric
@attribute ellipses numeric
@attribute common_nouns numeric
@attribute proper_nouns numeric
@attribute adverbs numeric
@attribute wh_words numeric
@attribute modern_slang numeric
@attribute words_all_upper numeric
@attribute avg_sentences numeric
@attribute avg_tokens numeric
@attribute num_sentences numeric
@attribute polarity {0,4}


@data
3,0,2,0,0,0,0,0,0,0,0,1,0,1,2,0,0,25.25,4.0,4,0
2,0,0,1,0,0,1,0,0,0,0,3,0,0,1,0,0,14.0,3.2857142857142856,4,0
2,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,8.333333333333334,3.0,3,0
2,2,0,0,0,0,1,0,0,0,0,7,0,4,1,0,0,23.6,3.2413793103448274,5,0
0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,19.0,4.714285714285714,2,0
0,0,0,3,0,0,0,0,0,0,0,6,0,2,0,0,0,26.666666666666668,3.8823529411764706,3,0
2,0,0,0,0,0,2,0,0,0,0,7,0,1,0,0,0,20.666666666666668,3.642857142857143,3,0
2,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,36.5,4.357142857142857,2,0
1,0,0,0,0,0,0,1,0,0,0,6,0,1,0,0,0,15.6,4.928571428571429,5,0
1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,19.5,4.125,2,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11.0,3.8,2,0
1,0,0,0,0,0,0,0,1,0,0,5,0,1,1,0,0,18.666666666666668,3.5384615384615383,3,0
2,1,0,0,0,0,2,0,1,0,0,7,1,2,0,0,0,43.666666666666664,3.6206896551724137,3,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12.333333333333334,4.0,3,0
3,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,29.0,3.2857142857142856,3,0
0,1,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,26.5,4.5,2,0
2,0,0,2,0,1,0,0,0,0,0,3,0,1,0,0,0,22.25,3.8947368421052633,4,0
1,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,26.5,4.7894736842105265,4,0
0,1,3,0,0,0,1,0,0,0,0,1,0,1,1,0,1,18.333333333333332,3.4615384615384617,3,0
2,0,0,1,0,0,1,0,0,0,0,6,2,2,0,0,0,32.0,4.5,4,0
1,0,1,2,0,0,1,0,2,0,0,9,1,4,0,0,0,45.0,3.4516129032258065,3,0
5,0,2,1,0,0,0,0,0,0,0,5,0,1,1,0,0,45.666666666666664,3.375,3,0
0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,30.0,4.636363636363637,2,0
1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,17.0,4.142857142857143,2,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14.5,5.2,2,0
2,0,1,2,0,0,1,0,0,0,0,3,1,2,1,0,13,40.666666666666664,4.0,3,0
5,0,0,0,0,0,0,0,0,0,0,6,1,2,0,0,3,33.0,3.533333333333333,4,0
3,0,0,1,0,1,1,0,0,0,0,5,0,1,0,0,0,30.333333333333332,3.7,3,0
2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,17.0,4.142857142857143,2,0
2,0,1,2,0,0,0,0,0,0,0,6,0,1,0,0,0,23.0,3.5,3,0
1,0,1,3,0,0,1,0,1,0,0,9,0,1,0,0,0,40.333333333333336,3.5925925925925926,3,0
2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,9.0,3.5454545454545454,5,0
0,0,1,2,0,0,1,0,0,0,0,3,0,1,0,0,0,40.0,4.125,2,0
0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,11.5,5.25,2,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,7.0,4.333333333333333,2,0
3,0,1,3,0,0,0,0,0,0,0,6,0,1,0,0,0,36.333333333333336,4.090909090909091,3,0
5,0,0,0,0,1,0,1,0,0,0,8,1,3,1,0,0,33.75,3.212121212121212,4,0
0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,17.5,4.285714285714286,2,0
1,0,0,1,0,0,0,0,1,0,0,3,0,1,0,0,0,34.0,4.384615384615385,2,0
3,0,0,1,0,0,2,0,0,0,0,4,1,3,0,0,2,31.75,4.038461538461538,4,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,9.0,4.0,2,0
2,0,2,0,0,0,0,0,0,0,0,8,2,2,0,0,0,18.714285714285715,4.111111111111111,7,0
2,0,0,2,0,0,0,0,0,0,0,7,0,1,0,0,0,45.0,3.6,2,0
1,1,0,0,0,0,1,0,0,0,0,8,0,5,1,0,0,31.25,4.16,4,0
1,0,1,3,0,1,0,0,0,0,0,6,0,1,0,0,0,31.0,4.12,4,0
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,19.5,2.727272727272727,2,0
1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,13.5,3.8333333333333335,2,0
1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,15.666666666666666,4.555555555555555,3,0
1,0,1,1,0,0,0,0,0,0,0,4,2,1,0,0,0,27.0,3.9411764705882355,3,0
5,0,2,0,0,0,0,0,0,0,0,7,0,3,0,0,0,43.0,3.4,3,0
1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,15.0,3.5714285714285716,2,0
0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,20.75,4.8,4,0
0,1,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,13.0,4.090909090909091,4,0
1,5,0,0,0,0,0,0,0,0,0,6,2,0,1,0,0,30.75,4.291666666666667,4,0
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,26.333333333333332,4.125,3,0
1,0,0,2,0,0,0,0,0,0,0,4,2,2,0,0,0,43.666666666666664,3.6206896551724137,3,0
2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,16.6,4.866666666666666,5,0
0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,20.0,3.5,3,0
2,0,0,0,0,0,0,1,1,0,0,19,1,0,1,1,2,22.5,4.035714285714286,6,0
2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,25.5,3.8181818181818183,2,0
1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,9.75,5.142857142857143,4,0
0,3,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,15.5,5.0,4,0
1,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,34.0,3.6666666666666665,2,0
4,1,0,1,0,1,1,2,0,0,0,4,0,1,0,0,0,26.5,3.4,4,0
1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,16.5,4.833333333333333,2,0
0,0,0,0,0,0,1,0,0,0,0,6,0,1,0,0,0,25.0,4.2,3,0
2,0,4,1,0,0,1,0,0,0,0,4,0,1,0,0,0,64.0,3.814814814814815,2,0
2,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,42.5,4.117647058823529,2,0
2,0,0,0,0,0,0,1,0,0,0,11,1,2,0,0,0,30.5,3.8461538461538463,4,0
1,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,40.333333333333336,4.391304347826087,3,0
1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,19.0,4.714285714285714,2,0
1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,21.0,4.5,2,0
1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,19.0,4.0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,12.0,3.3333333333333335,2,0
2,0,0,1,0,0,1,0,0,0,0,7,1,1,0,0,0,44.666666666666664,3.7241379310344827,3,0
1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3,13.0,3.6666666666666665,3,0
2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,20.0,2.8181818181818183,2,0
3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,22.0,3.1818181818181817,2,0
0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,4,29.5,5.777777777777778,2,0
3,1,2,2,0,0,3,0,0,0,0,8,0,1,1,0,0,42.0,3.7777777777777777,3,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.5,3.8333333333333335,2,0
1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,36.0,3.933333333333333,2,0
2,0,1,1,0,0,1,0,1,0,0,5,3,2,0,0,0,29.25,4.041666666666667,4,0
2,0,0,3,0,0,0,0,0,0,0,8,1,0,0,0,0,35.0,3.909090909090909,3,0
0,0,1,2,0,0,0,0,0,0,0,3,0,0,1,0,0,17.333333333333332,4.5,3,0
1,2,0,2,0,0,0,0,0,0,0,5,0,3,0,0,0,35.75,4.444444444444445,4,0
1,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0,0,32.0,4.076923076923077,2,0
1,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,24.0,3.1666666666666665,2,0
3,0,0,0,0,0,1,0,1,0,0,9,0,2,0,0,0,27.2,4.875,5,0
1,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,34.0,3.375,2,0
1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,20.0,3.2,2,0
2,0,0,2,0,0,1,0,0,0,0,8,0,3,0,0,0,32.0,4.076923076923077,4,0
3,0,1,0,0,0,0,0,1,0,0,4,0,2,0,0,1,18.0,3.4705882352941178,4,0
3,0,0,3,0,0,0,0,0,0,0,7,0,3,0,0,0,46.666666666666664,4.107142857142857,3,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17.5,5.166666666666667,2,0
2,1,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,45.5,4.470588235294118,2,0
1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,14.0,3.2857142857142856,2,0
3,2,0,0,0,2,0,0,0,0,0,3,1,1,0,0,0,39.333333333333336,3.4814814814814814,3,0
1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,11.0,3.8,2,0
4,1,0,0,0,1,0,0,1,0,0,5,2,0,0,0,0,24.25,4.05,4,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.0,7.0,2,0
0,0,0,0,0,0,0,1,0,0,0,6,0,1,0,0,0,31.5,3.642857142857143,2,0
1,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,19.75,4.928571428571429,4,0
0,0,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,43.666666666666664,5.090909090909091,3,0
3,2,1,0,0,1,0,0,0,0,0,8,0,2,0,0,0,39.333333333333336,3.6538461538461537,3,0
0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,24.5,4.1,2,0
1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11.666666666666666,4.428571428571429,3,0
0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,24.0,4.0,4,0
2,0,0,2,0,0,0,0,0,0,0,4,0,1,0,0,0,20.5,3.3,4,0
2,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,33.333333333333336,3.4782608695652173,3,0
0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,15.5,5.6,2,0
2,1,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,37.5,4.5,2,0
0,0,1,0,0,0,0,0,1,0,0,4,0,2,0,0,0,21.0,4.076923076923077,3,0
0,0,2,3,0,0,0,0,0,0,0,7,0,1,0,0,0,33.5,3.9285714285714284,2,0
0,0,0,0,0,0,0,0,0,0,0,6,0,2,1,0,0,28.75,4.666666666666667,4,0
1,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,19.0,4.454545454545454,3,0
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,15.5,5.6,2,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,7.0,2,0
3,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,2,22.4,3.875,5,0
0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,23.5,3.9,2,0
0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,18.0,4.428571428571429,2,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.6666666666666665,6.0,3,0
1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,14.0,4.0,2,0
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10.0,3.4,2,0
2,0,0,0,0,1,0,0,0,0,0,4,0,3,1,0,1,34.333333333333336,3.8181818181818183,3,0
2,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,46.0,2.9166666666666665,2,0
1,0,0,1,0,1,1,0,0,0,0,0,2,1,0,0,0,17.0,3.5,2,0
2,0,0,1,0,1,1,0,1,0,0,9,1,0,0,0,0,63.5,3.3,2,0
3,0,0,1,0,0,0,1,0,0,0,3,0,5,1,0,0,31.75,3.8518518518518516,4,0
2,0,1,4,0,0,0,0,0,0,0,5,1,2,0,0,0,30.5,4.25,4,0
3,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,18.0,3.3846153846153846,3,0
1,0,0,1,0,0,0,0,0,0,0,4,0,2,0,0,0,19.333333333333332,4.083333333333333,3,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.5,7.333333333333333,2,0
1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,17.0,3.0,2,0
1,2,1,1,0,0,0,0,0,0,0,3,0,2,0,0,0,36.0,3.933333333333333,2,0
0,0,0,1,0,0,0,0,0,0,0,4,5,1,0,0,0,26.666666666666668,4.1875,3,0
1,0,0,1,0,0,3,0,2,0,0,9,3,0,0,0,0,41.333333333333336,4.521739130434782,3,0
1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,12.4,4.153846153846154,5,0
0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,23.5,4.444444444444445,2,0
2,0,0,2,0,0,0,0,1,0,0,5,0,3,0,0,0,34.666666666666664,4.35,3,0
1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,38.0,4.2,2,0
1,0,2,0,0,0,0,0,0,0,0,7,0,3,0,0,0,32.0,4.739130434782608,4,0
0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,15.5,4.5,2,0
3,0,1,0,0,1,0,0,0,0,0,1,5,1,0,0,0,37.333333333333336,3.6,3,0
3,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,24.333333333333332,4.066666666666666,3,0
0,0,1,1,0,1,0,0,1,0,0,2,0,4,0,0,0,46.0,3.9473684210526314,2,0
1,0,0,1,0,0,1,0,0,0,0,8,0,1,0,0,2,34.666666666666664,4.35,3,0
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,11.0,3.5,3,0
0,0,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,20.666666666666668,4.416666666666667,3,0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12.5,3.5,2,0
0,1,0,1,0,0,1,0,0,0,0,5,0,1,0,0,0,35.0,5.0,3,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8.0,3.5,2,0
1,0,2,1,0,0,2,0,0,0,0,5,0,2,0,0,1,39.333333333333336,4.5,3,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,15.0,15.0,2,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7.0,3.0,2,0
2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,19.5,3.5555555555555554,2,0
0,0,0,0,0,0,0,2,0,0,0,2,2,2,0,0,0,19.5,3.5555555555555554,2,0
2,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,33.666666666666664,3.5217391304347827,3,0
1,0,1,0,0,0,1,0,0,0,0,1,1,2,2,0,0,34.0,3.6666666666666665,2,0
1,0,1,0,0,1,1,0,0,0,0,2,1,1,0,0,0,14.333333333333334,4.111111111111111,3,0
2,0,0,1,0,1,3,0,0,0,0,8,3,0,0,0,0,19.333333333333332,4.545454545454546,6,0
2,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,15.2,4.0625,5,0
2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,21.5,4.625,2,0
0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,10.5,4.75,2,0
1,2,0,1,0,0,0,0,0,0,0,4,4,4,1,0,0,23.0,3.6153846153846154,5,0
1,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,24.5,2.923076923076923,2,0
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,13.5,3.8333333333333335,2,0
2,0,1,1,0,0,0,0,0,0,0,7,0,1,0,0,1,18.8,3.7142857142857144,5,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.5,5.75,2,0
1,1,1,1,0,0,0,0,0,0,0,7,0,1,0,0,0,17.0,3.5,5,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10.0,4.5,2,0
1,0,0,1,0,0,0,0,0,0,0,8,1,3,0,0,0,33.333333333333336,4.722222222222222,3,0
2,0,1,1,0,0,1,0,0,0,0,5,0,0,0,0,0,22.333333333333332,3.6666666666666665,3,0
1,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,29.0,5.666666666666667,2,0
3,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,35.0,3.235294117647059,2,0
1,0,1,1,0,0,0,0,0,0,0,3,0,1,0,0,0,23.75,3.95,4,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9.0,4.0,2,0
0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,20.333333333333332,4.333333333333333,3,0
0,0,0,3,0,0,0,0,0,0,0,4,0,1,0,0,0,28.333333333333332,4.176470588235294,3,0
3,0,0,2,0,0,0,0,0,0,0,6,1,1,1,0,0,42.0,3.9615384615384617,3,0
1,0,0,2,0,0,0,0,0,0,0,4,0,2,0,0,0,35.666666666666664,4.5,3,0
0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,21.333333333333332,3.466666666666667,3,0
1,0,0,2,0,0,0,0,0,0,0,5,0,1,0,0,0,27.666666666666668,5.615384615384615,3,0
1,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,14.333333333333334,4.111111111111111,3,0
1,1,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,20.5,4.0588235294117645,4,0
0,0,1,2,0,1,2,0,0,0,0,9,0,0,0,0,0,43.333333333333336,3.75,3,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,17.5,4.285714285714286,2,0
1,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0,0,20.5,5.142857142857143,2,0
1,0,1,0,0,0,0,0,0,0,0,8,0,1,0,0,0,42.666666666666664,4.695652173913044,3,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18.5,3.3333333333333335,2,0
0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,44.0,5.75,3,0
0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,13.666666666666666,4.5,3,0
0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,25.0,4.777777777777778,2,0
4,0,0,0,0,1,1,0,0,0,0,6,0,3,0,0,0,34.666666666666664,3.4583333333333335,3,0
0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,27.5,3.0714285714285716,2,0
1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21.0,3.888888888888889,2,0
0,0,1,0,0,0,0,0,0,0,0,3,1,1,0,0,0,24.666666666666668,4.133333333333334,3,0
0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,24.5,6.285714285714286,2,0
1,0,1,0,0,0,0,0,0,0,0,9,0,1,0,0,0,45.333333333333336,4.56,3,0
1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,15.333333333333334,4.444444444444445,3,0
2,0,0,1,0,0,0,0,0,0,0,6,0,1,1,0,0,26.333333333333332,3.5555555555555554,3,0
2,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,20.5,3.7777777777777777,2,0
0,0,0,1,0,0,1,0,0,0,0,8,1,0,0,0,0,53.0,4.4,2,0
0,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0,0,38.5,4.642857142857143,2,0
1,0,0,2,0,0,0,0,0,0,0,4,1,1,0,0,0,14.4,3.8125,5,0
1,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,34.333333333333336,4.0476190476190474,3,0
3,0,1,1,0,1,0,0,0,0,0,10,0,1,0,0,0,54.0,4.0,2,0
0,1,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,29.5,4.545454545454546,2,0
2,0,1,1,0,0,0,0,0,0,0,10,0,3,0,0,1,30.5,4.25,4,0
2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,14.5,2.875,2,0
1,0,0,1,0,0,0,1,0,0,0,3,0,1,0,0,0,44.0,3.736842105263158,2,0
0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,11.666666666666666,4.428571428571429,3,0
2,0,0,2,0,0,0,0,0,0,0,4,0,1,0,0,0,26.5,3.5833333333333335,2,0
1,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,18.0,4.7,3,0
2,0,1,1,0,0,0,0,0,0,0,6,0,1,0,0,2,26.75,3.8260869565217392,4,0
1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,20.5,3.7777777777777777,2,0
1,0,0,0,0,1,0,0,0,0,0,4,0,1,1,0,2,16.0,2.923076923076923,3,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.5,6.666666666666667,2,0
1,1,0,2,0,0,0,0,0,0,0,9,1,2,0,0,0,17.285714285714285,3.740740740740741,7,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,17.5,4.285714285714286,2,0
1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,10.0,3.4,2,0
2,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,14.0,4.0,3,0
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,31.0,5.4,2,0
1,0,0,2,0,0,1,0,0,0,0,5,0,1,0,0,0,19.666666666666668,3.4285714285714284,3,0
0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,14.5,3.4285714285714284,2,0
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,30.0,5.888888888888889,2,0
1,1,0,1,0,0,0,0,0,0,0,4,0,3,0,0,0,22.666666666666668,4.071428571428571,3,0
3,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,19.666666666666668,3.769230769230769,3,0
2,0,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,20.25,4.0,4,0
0,0,0,0,0,0,1,0,0,0,0,4,2,1,0,0,0,28.0,4.8,2,0
1,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,26.0,4.4,2,0
1,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,22.666666666666668,4.461538461538462,3,0
2,0,2,0,0,0,2,0,0,0,0,8,2,0,0,0,0,23.6,3.92,5,0
2,0,0,0,0,0,1,0,0,0,0,7,1,3,0,0,0,24.4,4.521739130434782,5,0
1,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,19.333333333333332,4.545454545454546,3,0
2,0,1,0,0,0,0,0,0,0,0,5,0,3,0,0,0,59.0,3.6153846153846154,2,0
2,0,0,2,0,0,0,0,0,0,0,6,0,1,0,0,0,33.0,4.1,3,0
0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,35.0,4.538461538461538,2,0
0,2,1,0,0,0,0,0,0,0,0,6,0,2,1,0,0,26.333333333333332,3.823529411764706,3,0
3,0,1,1,0,0,0,0,0,0,0,4,2,2,1,0,0,41.0,3.0,2,0
1,2,0,0,0,0,1,0,0,0,0,7,0,3,0,0,0,19.8,3.9523809523809526,5,0
3,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,36.0,3.8260869565217392,3,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9.0,9.0,2,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6.333333333333333,6.333333333333333,3,0
0,0,1,2,0,0,1,0,0,0,0,6,3,2,0,0,0,26.2,4.666666666666667,5,0
0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,30.0,3.769230769230769,2,0
2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,12.5,2.857142857142857,2,0
1,0,1,2,0,0,1,0,0,0,0,2,1,5,0,0,0,45.5,3.8947368421052633,2,0
3,0,0,1,0,0,0,0,0,0,0,5,2,3,0,0,0,25.6,3.75,5,0
2,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,23.5,3.4545454545454546,2,0
